"CTL"	"dysfunction"
"GRAP"	0	0
"GRAP2"	0	0
"GRB14"	0	0
"GRB2"	0	0
"GRB7"	2	1
"GREM1"	0	0
"GRHL1"	1	0
"GRHL2"	3	2
"GRHL3"	0	0
"GRIN1"	0	0
"GRIN2B"	0	0
"GRIN2C"	0	0
"GRIN2D"	0	0
"GRIN3A"	0	0
"GRIP1"	1	0
"GRK2"	0	0
"GRK4"	0	0
"GRK5"	0	0
"GRK6"	0	0
"GRM2"	0	0
"GRM4"	0	0
"GRN"	0	0
"GRTP1"	2	1
"GSC2"	0	0
"GSK3B"	1	0
"GSN"	0	0
"GSPT1"	1	1
"GSX2"	0	0
"GTF2A1"	0	2
"GTF2A2"	0	2
"GTF2E1"	0	1
"GTF2H3"	1	1
"GTF2H4"	0	0
"GTF2H5"	0	3
"GTF2IRD1"	1	2
"GTF2IRD2"	0	0
"GTPBP1"	0	0
"GTSE1"	0	1
"GUCA1A"	0	0
"GUCY1A1"	0	0
"GUCY1A2"	2	0
"GUCY1B1"	0	0
"GUCY2D"	1	0
"GULP1"	0	1
"GZF1"	0	1
"GZMA"	0	0
"GZMB"	0	0
"H3F3A"	0	1
"HACD3"	1	4
"HASPIN"	0	1
"HAT1"	0	4
"HBEGF"	0	0
"HCAR1"	0	0
"HCAR3"	0	0
"HCLS1"	0	0
"HDAC1"	0	1
"HDAC11"	0	0
"HDAC2"	0	5
"HDAC3"	0	0
"HDAC4"	0	0
"HDAC5"	0	0
"HDAC7"	0	0
"HDAC9"	0	0
"HDX"	0	0
"HELLS"	0	1
"HELZ"	0	1
"HERPUD1"	0	0
"HES1"	0	0
"HES5"	0	0
"HES6"	1	0
"HEXIM1"	0	0
"HEY1"	0	0
"HEYL"	1	0
"HGF"	0	0
"HGS"	0	0
"HHEX"	0	0
"HIC1"	0	0
"HIC2"	0	0
"HIF1A"	0	0
"HIF3A"	0	0
"HINFP"	0	1
"HINT1"	0	0
"HIP1"	0	0
"HIRA"	0	0
