"EMT"	"signature"
"NFIA"	0	1
"NOSTRIN"	0	1
"NOTCH1"	0	2
"NPR1"	0	2
"NTRK3"	0	2
"P2RX1"	0	1
"PDE4DIP"	0	1
"PEG10"	0	1
"PLCE1"	0	1
"POU6F1"	0	1
"PRAM1"	0	1
"PREX2"	0	1
"PRKAR1B"	0	1
"PRKCE"	0	1
"PSIP1"	0	1
"PTH1R"	0	1
"PTPRB"	0	1
"RAMP2"	0	1
"RAMP3"	0	1
"RAPGEF1"	0	1
"RAPGEF3"	0	1
"RC3H1"	0	1
"RERG"	0	1
"RGN"	0	1
"RHOBTB1"	0	1
"ROBO2"	0	1
"RORA"	0	1
"RTKN2"	0	1
"RXRA"	0	1
"S1PR2"	0	1
"SAP30L"	0	1
"SEMA6A"	0	1
"SHC3"	0	1
"SLK"	0	1
"SOX5"	0	1
"SPATA13"	0	1
"SPTA1"	0	1
"SRF"	0	1
"TFEB"	0	1
"TLR3"	0	1
"TNFRSF8"	0	1
"TNS2"	0	1
"TRHDE"	0	1
"TTN"	0	1
"ULK2"	0	1
"WASF2"	0	2
"XPC"	0	1
"ZBTB4"	0	1
"ZBTB46"	0	1
"ZBTB7C"	0	1
"ZDHHC8"	0	1
"ZNF106"	0	1
"ZNF385A"	0	2
"ZSCAN18"	0	1
"ZZEF1"	0	1
